Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Watermael-Boitsfort            0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.333333              0.000000                  0.0
Woluwe-Saint-Lambert           0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              1.428571                  0.0
Woluwe-Saint-Pierre            0.000000      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  1.0

Matrice de transition pour le 2021-03-04
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek     Evere  Forest (Bruxelles-Capitale)  Ganshoren   Ixelles   Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Anderlecht                     0.595745        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Auderghem                      0.000000        1.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Berchem-Sainte-Agathe          0.000000        0.0               0.133333   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Bruxelles                      0.000000        0.0               0.000000   0.732394   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
