DATE,TX_DESCR_FR,CASES_PER_10K,CASES_PER_10K_MA
2020-03-25,Woluwe-Saint-Pierre,0.4757600266425615,0.52
2020-03-26,Anderlecht,2.053843562843505,1.11
2020-03-26,Auderghem,0.5789885070781345,0.83
2020-03-26,Berchem-Sainte-Agathe,0.8294281093186248,0.99
2020-03-26,Bruxelles,0.5889155388041802,0.84
2020-03-26,Etterbeek,1.643655489809336,0.71
2020-03-26,Evere,2.1080739231255707,0.81
2020-03-26,Forest (Bruxelles-Capitale),1.9343720324974503,0.94
2020-03-26,Ganshoren,0.7934618741569468,0.76
2020-03-26,Ixelles,1.0283716306546158,0.75
2020-03-26,Jette,0.3777005589968273,0.77
2020-03-26,Koekelberg,0.9022013713460844,0.82
2020-03-26,Molenbeek-Saint-Jean,1.2290422688120284,1.05
2020-03-26,Saint-Gilles,2.214973218960171,0.83
2020-03-26,Saint-Josse-ten-Noode,0.7393715341959335,0.67
2020-03-26,Schaerbeek,1.4405725896945987,0.77
2020-03-26,Uccle,0.9502541929966266,0.56
2020-03-26,Watermael-Boitsfort,0.793587810491231,0.81
2020-03-26,Woluwe-Saint-Lambert,0.34458993797381116,0.71
2020-03-26,Woluwe-Saint-Pierre,0.4757600266425615,0.52
2020-03-27,Anderlecht,2.546766017925947,1.19
2020-03-27,Auderghem,1.4474712676953363,0.83
2020-03-27,Berchem-Sainte-Agathe,0.8294281093186248,1.09
2020-03-27,Bruxelles,0.6959910913140311,0.89
2020-03-27,Etterbeek,2.260026298487837,0.77
2020-03-27,Evere,0.46846087180568247,0.81
2020-03-27,Forest (Bruxelles-Capitale),0.8792600147715682,0.99
2020-03-27,Ganshoren,0.7934618741569468,0.87
